thr,N,M,time,K
1,150,15,0.00149508,445
1,150,15,0.000945708,303
1,150,15,0.00089275,344
1,150,15,0.00088425,289
1,150,15,0.000899958,262
1,150,15,0.00120067,238
1,150,15,0.000878959,315
1,150,15,0.000871542,316
1,150,15,0.000877208,241
1,150,15,0.000884459,255
1,150,15,0.000905,165
1,150,15,0.00133479,221
1,150,15,0.000995292,336
1,150,15,0.00117667,249
1,150,15,0.000887084,374
1,150,15,0.000882875,232
1,150,15,0.000882125,382
1,150,15,0.00165021,208
1,150,15,0.00088375,345
1,150,15,0.00158754,372
1,150,15,0.00115071,219
1,150,15,0.000999125,201
1,150,15,0.000905958,319
1,150,15,0.000881542,367
1,150,15,0.000886625,317
1,150,15,0.00179092,196
1,150,15,0.00143092,290
1,150,15,0.000877084,403
1,150,15,0.000996209,177
1,150,15,0.00127588,281
1,150,15,0.0008865,295
1,150,15,0.000882958,350
1,150,15,0.000880333,316
1,150,15,0.000890416,280
1,150,15,0.00154433,249
1,150,15,0.000918041,386
1,150,15,0.000878125,356
1,150,15,0.000868208,279
1,150,15,0.00404979,163
1,150,15,0.000984541,239
1,150,15,0.00117063,229
1,150,15,0.000878792,295
1,150,15,0.000875625,319
1,150,15,0.00107862,427
1,150,15,0.00209108,177
1,150,15,0.000881375,349
1,150,15,0.000873208,220
1,150,15,0.000887959,327
1,150,15,0.000877125,322
1,150,15,0.00097575,247
1,150,15,0.000873875,329
1,150,15,0.0011595,348
1,150,15,0.000885834,228
1,150,15,0.000905291,243
1,150,15,0.000906792,321
1,150,15,0.000878583,257
1,150,15,0.000881166,288
1,150,15,0.000900375,337
1,150,15,0.000894542,348
1,150,15,0.00152975,317
1,150,15,0.001287,307
1,150,15,0.000878208,300
1,150,15,0.00175079,282
1,150,15,0.001545,279
1,150,15,0.000885791,307
1,150,15,0.00169679,276
1,150,15,0.00121629,366
1,150,15,0.00107033,312
1,150,15,0.000904083,400
1,150,15,0.000892542,301
1,150,15,0.000877458,391
1,150,15,0.000887125,301
1,150,15,0.00152704,261
1,150,15,0.000997458,274
1,150,15,0.000871833,275
1,150,15,0.0008805,278
1,150,15,0.00160092,275
1,150,15,0.00196433,296
1,150,15,0.000890917,244
1,150,15,0.000884208,167
1,150,15,0.000881875,375
1,150,15,0.000904125,334
1,150,15,0.000881416,203
1,150,15,0.00097625,344
1,150,15,0.0008765,265
1,150,15,0.000891709,346
1,150,15,0.0008805,372
1,150,15,0.000870833,221
1,150,15,0.00120667,253
1,150,15,0.000976875,347
1,150,15,0.000899542,255
1,150,15,0.000893375,352
1,150,15,0.00141475,309
1,150,15,0.0009865,307
1,150,15,0.000876041,396
1,150,15,0.00091825,363
1,150,15,0.00107171,251
1,150,15,0.00125921,307
1,150,15,0.000880791,325
1,150,15,0.00122567,275
1,150,15,0.00148442,171
1,150,15,0.00132779,271
1,150,15,0.00128796,212
1,150,15,0.00116108,353
1,150,15,0.000878875,379
1,150,15,0.00118379,221
1,150,15,0.000997458,309
1,150,15,0.000883959,259
1,150,15,0.00132325,338
1,150,15,0.000875167,250
1,150,15,0.000886792,350
1,150,15,0.00248992,207
1,150,15,0.000883666,393
